1	-13	
3	-9	
7	-4	
9	-2	
11	2	
10	3	
8	4	
7	3	
4	2	
2	3	
-2	-1	
-2	-1	
-7	-2	
-11	-3	
-13	-2	
-16	-2	
-16	5	
-18	7	
-19	9	
-19	9	
-17	8	
-15	8	
-6	5	
6	3	
19	-3	
34	-9	
51	-22	
66	-33	
82	-41	
95	-51	
101	-58	
104	-64	
96	-69	
83	-69	
63	-66	
42	-59	
17	-47	
-6	-33	
-26	-16	
-46	1	
-57	20	
-66	36	
-69	52	
-66	66	
-60	74	
-52	81	
-44	84	
-37	84	
-32	80	
-28	75	
-25	69	
-24	61	
-23	53	
-22	41	
-21	31	
-19	22	
-17	10	
-12	0	
-10	-10	
-5	-19	
-2	-28	
-1	-38	
3	-44	
-1	-49	
-3	-50	
-7	-52	
-11	-49	
-16	-43	
-21	-41	
-24	-34	
-28	-28	
-29	-19	
-32	-11	
-31	-3	
-29	5	
-28	9	
-25	12	
-22	12	
-17	15	
-16	15	
-15	13	
-12	12	
-11	9	
-9	6	
-8	2	
-8	-1	
-8	-2	
-11	-5	
-13	-5	
-14	-6	
-16	-8	
-19	-9	
-24	-13	
-28	-15	
-37	-19	
-45	-21	
-54	-24	
-63	-26	
-73	-29	
-85	-33	
-93	-33	
-100	-33	
-103	-31	
-103	-27	
-95	-23	
-80	-17	
-61	-12	
-38	-7	
-9	-1	
24	4	
56	10	
87	12	
118	17	
144	19	
163	20	
174	21	
176	19	
174	20	
160	19	
140	18	
119	17	
91	15	
63	11	
35	5	
11	1	
-9	-6	
-23	-13	
-32	-20	
-35	-31	
-33	-39	
-33	-50	
-29	-59	
-27	-66	
-28	-72	
-31	-76	
-38	-77	
-49	-72	
-62	-66	
-75	-55	
-85	-39	
-90	-24	
-89	-5	
-85	12	
-76	29	
-63	47	
-50	59	
-31	70	
-15	75	
1	78	
13	72	
20	66	
25	60	
26	51	
29	44	
27	34	
27	24	
25	14	
24	3	
24	-6	
22	-13	
20	-18	
14	-26	
7	-32	
-5	-38	
-17	-47	
-30	-50	
-45	-53	
-60	-53	
-73	-51	
-87	-49	
-96	-44	
-102	-41	
-103	-37	
-98	-31	
-91	-24	
-78	-16	
-63	-15	
-45	-10	
-31	-8	
-11	-7	
8	-7	
24	-5	
40	-3	
51	-6	
62	-7	
67	-9	
68	-8	
68	-9	
67	-12	
63	-12	
57	-13	
53	-17	
47	-18	
41	-19	
37	-19	
35	-21	
34	-22	
33	-21	
33	-20	
34	-17	
33	-18	
32	-15	
32	-14	
31	-12	
30	-8	
25	-6	
26	0	
25	2	
24	6	
23	8	
24	12	
24	17	
21	19	
19	22	
14	22	
12	22	
8	20	
6	16	
8	13	
11	8	
14	2	
24	-6	
35	-14	
49	-19	
63	-27	
75	-33	
82	-39	
83	-42	
80	-44	
69	-45	
57	-41	
35	-36	
13	-28	
-9	-20	
-31	-9	
-48	6	
-61	19	
-66	33	
-68	47	
-64	58	
-58	68	
-48	75	
-36	81	
-27	82	
-18	83	
-11	79	
-6	74	
-3	69	
-4	59	
-4	52	
-3	42	
-3	31	
-3	22	
-3	11	
0	1	
1	-8	
2	-16	
2	-23	
2	-29	
2	-33	
-1	-37	
-4	-35	
-6	-33	
-8	-27	
-11	-21	
-14	-14	
-15	-6	
-15	0	
-14	8	
-14	17	
-13	25	
-8	31	
-6	33	
-4	36	
-2	39	
0	37	
2	37	
1	35	
4	34	
8	28	
10	24	
9	20	
7	16	
8	11	
7	5	
8	3	
8	0	
9	-3	
7	-5	
3	-6	
1	-7	
0	-9	
0	-11	
0	-10	
-1	-12	
-3	-13	
-4	-13	
-4	-12	
-1	-11	
1	-11	
4	-8	
4	-7	
5	-2	
2	-1	
0	2	
-2	7	
-7	5	
-11	6	
-19	3	
-22	1	
-22	-3	
-19	-8	
-12	-15	
-1	-24	
12	-32	
26	-44	
41	-52	
55	-60	
67	-68	
73	-72	
72	-77	
67	-77	
56	-71	
40	-62	
23	-49	
6	-35	
-8	-17	
-20	0	
-29	18	
-31	36	
-31	51	
-26	66	
-17	72	
-6	77	
8	79	
17	79	
24	77	
27	71	
30	66	
28	57	
26	50	
23	41	
14	32	
8	25	
-3	16	
-10	7	
-16	-2	
-21	-10	
-25	-15	
-29	-21	
-34	-25	
-39	-28	
-42	-29	
-46	-26	
-49	-26	
-51	-21	
-54	-19	
-56	-15	
-57	-12	
-58	-8	
-52	-3	
-47	0	
-36	4	
-25	1	
-13	3	
1	3	
12	5	
26	8	
37	8	
48	8	
53	8	
56	7	
54	8	
50	11	
46	12	
38	14	
34	14	
